antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,Cluster
frozenset({'spice tins'}),frozenset({'cake tins'}),0.04417670682730924,0.12048192771084337,0.03413654618473896,0.7727272727272727,6.413636363636363,1.0,0.028814051386267966,3.869879518072289,0.8830944142362828,0.26153846153846155,0.7415940224159402,0.5280303030303031,0
frozenset({'cabinet'}),frozenset({'frame'}),0.07028112449799197,0.1144578313253012,0.030120481927710843,0.42857142857142855,3.744360902255639,1.0,0.022076256834567185,1.549698795180723,0.7883369330453563,0.19480519480519484,0.35471331389698735,0.3458646616541353,0
"frozenset({'box', 'hot water bottle'})",frozenset({'hand warmer'}),0.08032128514056225,0.14156626506024098,0.03714859437751004,0.46249999999999997,3.2670212765957443,1.0,0.025777810035322007,1.5970860184925748,0.7545143396671781,0.20108695652173908,0.37385964912280695,0.3624556737588652,0
frozenset({'lunch box'}),"frozenset({'bag', 'sign'})",0.0963855421686747,0.1285140562248996,0.040160642570281124,0.41666666666666663,3.2421875,1.0,0.027773745584748634,1.4939759036144578,0.7653333333333333,0.21739130434782608,0.33064516129032256,0.3645833333333333,0
"frozenset({'bag', 'sign'})",frozenset({'lunch box'}),0.1285140562248996,0.0963855421686747,0.040160642570281124,0.3125,3.2421875,1.0,0.027773745584748634,1.3143483023001095,0.7935483870967742,0.21739130434782608,0.23916666666666667,0.3645833333333333,0
"frozenset({'box', 'sign'})","frozenset({'mug', 'tin'})",0.0963855421686747,0.12349397590361445,0.03815261044176707,0.3958333333333333,3.2052845528455283,1.0,0.026249576619731943,1.4507685916078104,0.7614035087719299,0.20994475138121546,0.3107101947308133,0.35238821138211385,0
"frozenset({'mug', 'tin'})","frozenset({'box', 'sign'})",0.12349397590361445,0.0963855421686747,0.03815261044176707,0.3089430894308943,3.2052845528455283,1.0,0.026249576619731943,1.307583274273565,0.7849520708988967,0.20994475138121546,0.23523035230352304,0.35238821138211385,0
frozenset({'woolly hottie'}),frozenset({'hot water bottle'}),0.03714859437751004,0.26907630522088355,0.03112449799196787,0.8378378378378378,3.113755546591367,1.0,0.021128691472718182,4.507362784471218,0.7050354872346868,0.11313868613138685,0.7781407781407781,0.4767547398144413,0
"frozenset({'box', 'hot water bottle'})","frozenset({'mug', 'tin'})",0.08032128514056225,0.12349397590361445,0.030120481927710843,0.375,3.0365853658536586,1.0,0.0202012870760149,1.4024096385542169,0.7292576419213973,0.17341040462427745,0.2869415807560138,0.3094512195121951,0
"frozenset({'candle', 'sign'})","frozenset({'mug', 't-lights'})",0.10040160642570281,0.10140562248995984,0.030120481927710843,0.3,2.9584158415841584,1.0,0.019939194529120498,1.2837062535857717,0.7358630952380952,0.17543859649122803,0.22100558659217878,0.2985148514851485,0
